FreelanceJobID,StudentID,JobTitle,Description,ClientNationality,Platform,CompensationAmountInDollar
1001,301,App Development,Project involving app development with specific client requirements.,UAE,Fiverr,726.75
1002,302,Video Editing,Project involving video editing with specific client requirements.,Egypt,Fiverr,747.96
1003,303,Translation,Project involving translation with specific client requirements.,France,PeoplePerHour,1168.15
1004,304,SEO Optimization,Project involving seo optimization with specific client requirements.,UK,Guru,1264.48
1005,305,Graphic Design,Project involving graphic design with specific client requirements.,Egypt,Freelancer.com,114.87
1006,306,Graphic Design,Project involving graphic design with specific client requirements.,Germany,Guru,1452.94
1007,307,Graphic Design,Project involving graphic design with specific client requirements.,India,PeoplePerHour,441.78
1008,308,Content Writing,Project involving content writing with specific client requirements.,Germany,Fiverr,1040.6
1009,309,Database Management,Project involving database management with specific client requirements.,UK,Freelancer.com,975.05
1010,310,Data Analysis,Project involving data analysis with specific client requirements.,Germany,Upwork,336.43
1011,311,SEO Optimization,Project involving seo optimization with specific client requirements.,US,Fiverr,1310.68
1012,312,Data Analysis,Project involving data analysis with specific client requirements.,Germany,Upwork,1037.96
1013,313,UI/UX Design,Project involving ui/ux design with specific client requirements.,Canada,Toptal,529.02
1014,314,Video Editing,Project involving video editing with specific client requirements.,Australia,Guru,861.05
1015,315,SEO Optimization,Project involving seo optimization with specific client requirements.,France,PeoplePerHour,231.8
1016,316,Content Writing,Project involving content writing with specific client requirements.,UAE,Guru,747.16
1017,317,Graphic Design,Project involving graphic design with specific client requirements.,Australia,Upwork,544.59
1018,318,Database Management,Project involving database management with specific client requirements.,Canada,Guru,857.2
1019,319,App Development,Project involving app development with specific client requirements.,UK,Freelancer.com,648.47
1020,320,Database Management,Project involving database management with specific client requirements.,UK,PeoplePerHour,130.78
1021,321,UI/UX Design,Project involving ui/ux design with specific client requirements.,UK,Guru,959.67
1022,322,Video Editing,Project involving video editing with specific client requirements.,France,Toptal,401.26
1023,323,Database Management,Project involving database management with specific client requirements.,Australia,Upwork,1020.5
1024,324,Graphic Design,Project involving graphic design with specific client requirements.,UAE,Toptal,391.52
1025,325,Content Writing,Project involving content writing with specific client requirements.,UK,Fiverr,953.36
1026,326,UI/UX Design,Project involving ui/ux design with specific client requirements.,France,Guru,1493.73
1027,327,UI/UX Design,Project involving ui/ux design with specific client requirements.,Egypt,PeoplePerHour,617.4
1028,328,UI/UX Design,Project involving ui/ux design with specific client requirements.,India,Upwork,610.63
1029,329,Data Analysis,Project involving data analysis with specific client requirements.,Australia,Toptal,374.83
1030,330,SEO Optimization,Project involving seo optimization with specific client requirements.,Germany,PeoplePerHour,931.35
1031,331,Database Management,Project involving database management with specific client requirements.,UAE,Toptal,236.67
1032,332,SEO Optimization,Project involving seo optimization with specific client requirements.,US,Upwork,641.64
1033,333,SEO Optimization,Project involving seo optimization with specific client requirements.,Australia,Toptal,326.58
1034,334,Translation,Project involving translation with specific client requirements.,Canada,Guru,244.06
1035,335,Video Editing,Project involving video editing with specific client requirements.,France,Guru,1240.33
1036,336,Translation,Project involving translation with specific client requirements.,Germany,Upwork,259.84
1037,337,Graphic Design,Project involving graphic design with specific client requirements.,Brazil,Guru,779.88
1038,338,Video Editing,Project involving video editing with specific client requirements.,UAE,Upwork,1271.38
1039,339,Content Writing,Project involving content writing with specific client requirements.,UK,Toptal,1419.25
1040,340,App Development,Project involving app development with specific client requirements.,France,Freelancer.com,1064.63
1041,341,Web Development,Project involving web development with specific client requirements.,UK,Fiverr,216.36
1042,342,Data Analysis,Project involving data analysis with specific client requirements.,France,Upwork,645.65
1043,343,SEO Optimization,Project involving seo optimization with specific client requirements.,UAE,Guru,986.2
1044,344,Graphic Design,Project involving graphic design with specific client requirements.,US,Freelancer.com,878.32
1045,345,Video Editing,Project involving video editing with specific client requirements.,India,Freelancer.com,1296.96
